date,region,category,revenue,expense,quantity
2024-01-15,East,Electronics,15000,9000,50
2024-01-22,West,Clothing,8500,5100,120
2024-02-03,East,Electronics,12000,7200,40
2024-02-10,North,Food,6000,4200,200
2024-02-18,South,Clothing,9500,5700,95
2024-03-01,East,Food,7500,4500,180
2024-03-15,West,Electronics,18000,10800,60
2024-03-22,North,Clothing,5500,3300,75
2024-04-05,South,Electronics,14000,8400,45
2024-04-12,East,Food,8000,4800,210
2024-04-20,West,Clothing,11000,6600,130
2024-05-02,North,Electronics,16500,9900,55
2024-05-10,South,Food,5000,3500,160
2024-05-18,East,Clothing,7000,4200,85
2024-06-01,West,Food,9000,5400,190
2024-06-15,North,Electronics,13500,8100,42
2024-06-22,South,Clothing,6500,3900,110
2024-07-03,East,Electronics,20000,12000,70
2024-07-12,West,Food,7500,4500,175
2024-07-20,North,Clothing,8000,4800,100
2024-08-01,South,Electronics,17000,10200,58
2024-08-10,East,Food,6000,3600,195
2024-08-18,West,Clothing,10500,6300,115
2024-09-02,North,Food,5500,3850,145
2024-09-15,South,Electronics,15500,9300,52
2024-09-22,East,Clothing,9000,5400,90
2024-10-01,West,Electronics,21000,12600,65
2024-10-12,North,Food,7000,4900,170
2024-10-20,South,Clothing,8500,5100,105
2024-11-03,East,Electronics,19000,11400,62
2024-11-10,West,Food,6500,3900,185
2024-11-18,North,Clothing,7500,4500,80
2024-12-01,South,Electronics,16000,9600,48
2024-12-10,East,Food,8500,5100,200
2024-12-22,West,Clothing,12000,7200,140
2025-01-05,North,Electronics,14500,8700,55
2025-01-15,South,Food,5500,3850,155
2025-01-22,East,Clothing,10000,6000,95
2025-02-01,West,Electronics,22000,13200,72
2025-02-10,North,Food,6000,4200,165
2025-02-18,South,Clothing,9500,5700,88
2025-03-01,East,Electronics,17500,10500,60
2025-03-10,West,Food,8000,4800,190
2025-03-15,North,Clothing,7000,4200,82
2025-03-20,South,Electronics,13000,7800,44
2025-03-25,East,Food,9500,5700,210
2025-03-28,West,Clothing,11500,6900,125
2025-04-01,North,Electronics,15000,9000,50
2025-04-10,South,Food,7500,5250,180
2025-04-15,East,Clothing,8500,5100,100
